"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - CIELO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,0,0,0,1.628.699,1.626.023,1.621.861,1.611.966,1.604.418,1.573.985,1.522.612,1.465.027,1.411.937,1.363.036,1.302.455,1.440.605,1.204.705,1.159.283,1.108.475,1.065.481,1.044.211,1.002.060,951.409,901.356,861.015,820.708,771.635,731.598,692.634,656.890,622.805,592.211,550.502,519.005,489.204,0,0,0,0,0,0,0
Investimentos,8.857.682,8.895.027,129.197,249.748,164.754,160.788,120.500,117.029,108.207,104.339,104.353,95.822,94.831,88.285,105.108,111.219,84.483,62.578,58.867,55.414,52.914,50.137,46.388,48.111,46.599,43.691,0,0,0,0,0,0,0,0,0,12,12,12,29.081,131,1.138,12
Imobilizado,816.500,621.512,580.794,523.616,506.131,464.150,512.596,494.227,533.812,604.305,640.099,626.503,628.976,695.578,751.517,801.700,807.506,726.589,723.915,590.422,530.689,536.113,515.328,520.732,514.527,498.235,503.009,506.021,475.924,519.256,522.369,445.312,357.216,360.415,360.290,374.995,326.742,313.404,288.176,264.748,226.655,206.881
Intangível,448.200,407.213,13.076.153,13.178.509,13.207.925,12.982.826,13.103.396,13.074.933,13.255.786,13.249.625,13.442.323,13.497.298,13.571.716,13.934.938,14.290.498,14.469.725,13.989.714,14.300.118,2.329.758,2.145.954,1.936.582,1.996.015,2.081.408,2.006.710,1.998.724,1.883.927,1.955.873,1.643.989,221.646,223.451,228.128,217.621,215.406,172.610,129.285,110.319,57.701,61.070,50.310,64.304,66.949,69.405
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,89.633.464,84.166.083,82.563.088,82.427.888,80.526.655,83.007.046,88.347.181,77.682.582,80.003.211,30.937.207,30.544.071,28.953.479,27.846.506,29.063.027,29.977.801,29.121.524,28.004.624,28.082.545,18.679.675,13.863.947,13.460.114,13.245.413,13.310.582,12.145.788,11.511.037,10.147.446,10.037.189,7.742.677,5.865.108,5.222.459,5.081.182,4.298.447,4.037.806,3.867.519,3.771.406,3.549.426,3.177.783,2.812.974,2.490.947,2.051.257,1.888.225,1.913.334
Passivo Circulante,71.158.989,67.295.314,56.802.841,56.350.806,53.993.255,57.411.559,62.597.370,52.867.572,57.267.114,7.396.206,7.852.780,6.906.662,6.695.495,6.539.774,8.063.954,6.377.498,7.489.508,11.532.514,10.267.544,6.122.419,6.418.189,6.237.105,6.363.961,5.755.959,5.660.528,4.553.051,4.627.457,4.653.355,2.688.515,2.642.736,2.817.098,2.394.242,2.082.731,2.371.507,2.016.357,2.166.301,1.463.675,1.588.209,1.538.845,1.303.859,1.481.799,1.462.840
Obrigações Sociais e Trabalhistas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fornecedores PC,67.991.577,64.771.924,54.442.983,54.079.623,51.388.424,53.699.105,58.552.873,48.993.776,54.215.762,3.394.573,3.336.442,2.804.786,1.977.565,2.156.560,3.436.056,3.555.532,4.337.792,6.002.615,4.280.530,5.245.928,4.872.209,5.558.395,4.902.100,4.913.553,4.373.661,3.964.031,3.383.001,3.176.885,2.164.560,2.310.392,1.950.182,2.018.744,1.790.038,204.036,180.761,176.856,125.415,159.721,114.043,96.480,56.178,44.712
Obrigações Fiscais PC,190.383,146.767,412.777,414.064,227.286,345.588,286.954,396.191,158.409,426.154,409.789,444.241,586.607,601.771,275.733,163.682,227.120,207.855,442.548,384.068,346.443,250.835,538.484,400.827,284.294,220.087,502.768,401.364,299.399,198.556,391.996,270.668,211.487,146.175,409.042,334.518,266.654,174.248,416.660,330.483,237.898,151.414
Empréstimos e Financiamentos PC,2.372.303,1.921.889,1.033.618,1.073.726,1.332.732,2.699.368,2.827.719,2.730.298,1.839.559,2.869.871,2.921.002,3.017.847,3.003.162,3.244.736,3.291.228,2.143.425,2.043.750,5.051.880,4.833.602,242.418,257.271,278.790,273.110,270.118,220.650,219.596,165.040,940.866,104.124,55.950,19.666,0,0,0,0,0,0,0,0,0,0,258
Passivos com Partes Relacionadas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dividendos e JCP a Pagar PC,123.179,125.655,140.687,129.625,482.398,150.600,270.470,161.000,536.882,165.500,587.560,0,0,79.000,540.938,66.600,524.785,54.500,475.801,33.100,769.767,0,453.510,0,600.500,0,390.628,0,26.557,0,319.457,0,0,1.497,117.958,0,0,0,105.365,0,328.333,333.199
Outros PC,481.547,329.074,772.773,653.762,562.418,516.900,659.351,586.307,516.503,540.108,597.987,639.788,1.128.161,457.707,519.999,448.259,356.061,215.664,235.063,216.905,172.499,149.085,196.757,171.461,181.423,149.337,186.020,134.240,93.875,77.838,135.797,104.830,81.206,2.019.799,1.308.596,1.654.927,1.071.606,1.254.240,902.777,876.896,859.390,933.257
Provisões PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,9.342.442,7.830.639,10.890.157,11.055.591,10.929.005,10.433.201,10.388.870,10.354.885,8.407.007,9.790.386,9.788.300,9.692.827,9.604.733,11.453.799,11.749.880,12.960.946,11.558.481,8.035.319,4.087.730,3.778.604,3.544.810,3.541.622,3.614.742,3.432.714,3.382.408,3.148.895,3.123.625,1.016.863,999.406,929.881,839.520,671.616,625.615,594.422,560.798,529.921,567.033,535.024,91.673,153.503,210.884,291.433
