"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - WEG SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
Tributos Diferidos ACLP,0,0,0,0,0,0,166.032,148.284,147.137,145.110,134.327,130.291,127.848,122.810,128.315,131.327,108.749,77.962,68.602,55.864,59.208,58.767,68.870,60.376,56.970,40.762,43.337,36.891,32.190,35.441,115.265,111.488,103.846,89.776,86.060,78.810,0,0,0,0,0,0
Despesas Antecipadas ACLP,161.581,148.729,150.460,142.669,164.913,174.450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,490,0,797,2.909,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,0,292.464,295.560,263.258,293.836,227.179,267.092,308.335,241.807,390.716,487.665,460.386,108.810,85.511,69.759,67.130,64.025,63.359,61.260,59.836,55.952,62.132,49.910,47.144,45.679,43.396,40.346,40.678,39.672,41.086,58.174,149.892,163.413,170.517,193.814,223.577,214.138
Investimentos,19.644,19.974,20.380,20.362,18.478,17.013,16.923,268,306,225,220,223,224,238,1.395,1.379,1.463,1.379,8.222,8.224,8.222,8.223,8.091,7.264,7.584,7.585,7.577,7.622,349,349,349,349,933,931,2.199,601,222,776,16.861,16.041,14.690,15.517
Imobilizado,3.927.953,3.790.163,3.785.361,3.541.954,3.493.399,3.406.149,3.286.590,3.160.111,3.129.052,3.104.803,3.047.882,3.032.716,3.066.288,3.092.032,3.247.118,3.264.898,3.255.878,3.030.429,3.037.608,2.877.942,2.794.224,2.680.579,2.605.834,2.614.556,2.574.218,2.570.042,2.544.242,2.537.094,2.526.237,2.513.061,2.478.938,2.445.760,2.397.920,2.375.903,2.383.215,2.395.575,2.394.633,2.388.640,2.302.304,1.061.734,1.064.445,1.091.589
Intangível,1.228.829,1.188.174,1.213.537,1.220.027,1.296.059,1.280.681,1.194.401,966.097,961.757,954.675,942.196,951.526,950.107,943.056,977.479,786.714,784.083,744.810,703.648,671.607,687.895,663.055,547.563,543.820,544.520,527.060,526.347,529.984,493.425,494.255,418.863,360.222,176.380,174.675,179.969,183.995,192.085,199.085,123.568,128.860,100.007,108.750
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,15.479.421,14.907.806,15.226.982,15.399.850,16.274.130,15.464.046,14.526.053,13.985.987,13.964.453,14.181.424,13.446.033,13.509.331,13.634.825,13.048.678,13.458.854,14.261.541,14.289.917,13.121.290,12.951.305,11.782.630,10.902.810,10.362.672,9.898.693,10.141.293,9.552.065,9.542.922,9.496.435,8.873.550,8.757.033,9.109.705,8.824.120,9.105.861,8.695.827,7.979.509,7.424.388,7.511.164,7.365.112,7.343.910,6.417.038,5.373.607,5.382.039,5.259.835
Passivo Circulante,4.537.024,4.400.792,4.859.505,5.034.004,5.579.559,4.953.204,4.156.279,4.326.788,3.990.150,3.939.327,3.109.281,3.278.855,3.021.444,3.117.248,3.057.697,3.494.850,4.597.696,4.135.593,4.085.760,3.380.815,2.840.667,2.484.307,2.506.714,2.578.048,2.709.593,2.840.488,2.852.160,3.012.824,2.876.077,3.230.080,2.580.679,2.752.960,2.818.379,2.179.394,2.013.822,1.938.803,1.795.005,1.883.425,1.582.381,1.825.846,1.814.479,2.047.161
Obrigações Sociais e Trabalhistas PC,423.003,374.793,321.938,240.346,370.846,330.444,286.691,211.062,340.635,301.495,254.819,199.543,319.764,285.974,261.940,191.077,313.073,269.395,231.686,173.382,271.371,245.082,199.637,216.553,231.383,244.200,172.007,168.831,223.573,226.231,161.850,161.436,188.599,188.147,134.958,141.797,0,0,0,0,0,0
Fornecedores PC,797.051,809.232,820.402,842.957,878.547,973.788,780.109,750.533,668.828,640.286,612.122,562.851,519.466,479.139,502.294,566.769,671.967,549.136,594.308,445.577,512.394,420.498,379.952,420.250,362.428,362.605,365.492,331.037,321.473,349.350,329.571,298.195,317.125,295.775,259.762,242.300,273.823,289.674,206.530,188.779,196.701,214.205
