"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - COMPANHIA DE CONCESSÕES RODOVIÁRIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Tributos Diferidos ACLP,0,0,0,0,0,827.065,827.366,832.606,818.936,798.263,732.161,676.264,691.655,599.750,496.278,439.476,434.739,366.279,320.744,620.829,594.297,539.460,498.381,479.122,451.804,436.928,440.149,401.469,354.089,916.770,878.214,824.350,768.622,723.400,671.612,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,816.764,794.772,783.181,832.086,825.462,868,2.538,2.812,3.092,3.115,964,1.034,1.192,1.347,1.499,1.099,1.126,1.153,1.179,1.957,1.235,1.239,7.715,1.331,1.371,1.402,7.837,1.438,1.475,1.500,17.662,1.548,1.579,19,13.721,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,793,792,823,925,843,494.019,428.297,376.372,378.710,311.585,324.872,306.106,270.095,259.299,276.051,317.218,250.654,252.653,196.882,280.975,249.269,263.706,258.794,249.514,244.705,288.491,149.159,146.246,104.340,31.468,4.476,4.274,4.093,3.614,3.438,3.248,2.765,2.665,1.902,1.832,1.759,1.156
Outros Ativos Não Circulantes ACLP,326.666,337.157,394.224,590.138,553.607,3.514.240,3.522.506,3.812.287,3.728.870,3.509.640,3.403.419,3.376.690,3.348.147,3.423.464,3.377.830,3.239.890,3.062.200,2.979.769,2.907.601,2.804.093,2.814.638,2.789.085,2.726.316,2.737.650,2.755.652,2.743.936,2.741.626,2.752.883,2.707.403,2.691.728,2.678.741,2.644.098,2.627.724,2.623.143,2.579.594,3.102.318,3.044.664,2.869.756,2.181.327,1.908.874,1.650.034,1.403.052
Investimentos,1.338.229,1.278.515,1.264.639,1.299.649,1.213.237,1.076.469,1.064.237,1.060.138,1.105.263,1.197.288,1.170.652,1.251.846,1.269.589,1.307.271,1.327.206,1.171.422,995.263,909.259,790.591,726.201,668.936,629.302,583.895,694.529,674.153,705.153,0,0,0,0,0,0,0,0,0,35.654,0,0,0,0,10.268,73.599
Imobilizado,1.223.156,1.262.939,1.083.039,1.066.286,1.066.285,1.063.370,1.078.470,1.066.750,1.092.391,1.083.393,1.108.408,1.083.197,1.112.780,1.139.368,774.587,718.317,673.196,661.012,649.180,611.418,579.693,559.788,550.950,527.105,472.719,478.107,560.906,527.406,474.664,448.036,431.073,416.048,403.981,392.125,393.122,357.298,368.793,352.405,3.754.529,3.566.361,3.374.807,3.224.863
Intangível,17.244.908,17.357.072,17.596.105,16.699.530,16.597.002,15.787.610,15.566.428,14.556.294,14.859.331,12.796.867,12.324.365,11.595.794,11.277.491,10.772.231,11.353.202,10.780.831,10.410.977,9.940.678,9.707.106,9.324.290,7.932.160,7.629.095,7.557.635,7.374.018,7.222.887,6.987.547,8.782.066,8.584.744,8.173.373,7.435.713,7.454.336,7.382.982,7.338.518,7.455.966,7.380.772,5.549.150,5.350.687,5.134.441,528.281,539.758,412.586,421.912
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.633,83.220,82.682,84.604
Passivo Total,30.583.024,31.257.752,30.815.998,31.910.504,30.316.876,31.223.044,30.612.208,28.878.457,28.285.137,27.641.266,24.555.848,23.853.494,22.222.299,22.710.315,21.683.495,20.997.333,19.508.652,18.681.297,17.223.176,17.236.908,15.260.873,14.899.677,14.033.010,14.007.118,13.294.284,13.000.129,14.305.826,14.612.522,13.887.781,13.171.442,12.851.366,12.668.764,12.988.610,13.026.912,12.767.531,10.789.402,11.198.243,10.734.411,9.084.829,7.436.631,6.862.903,6.677.860
Passivo Circulante,5.087.996,4.641.789,5.055.624,4.103.187,3.760.093,5.433.212,5.912.066,5.298.797,6.571.007,7.070.601,7.176.052,6.762.448,6.320.012,8.313.064,7.467.459,7.980.107,6.642.795,4.987.891,4.514.031,5.416.013,3.768.289,3.753.800,3.346.299,4.233.523,2.717.610,3.334.730,3.743.691,5.454.456,4.460.441,4.087.033,2.912.071,2.276.870,2.685.463,3.029.532,3.041.673,1.920.865,1.768.457,1.718.274,1.648.829,2.676.555,2.660.987,2.596.310
Obrigações Sociais e Trabalhistas PC,274.164,273.549,238.289,241.241,198.450,239.910,216.471,219.042,186.782,214.033,190.686,192.787,171.265,220.962,196.582,195.389,145.787,189.145,157.579,149.577,121.031,151.885,128.632,127.711,109.137,140.278,139.538,143.085,105.322,124.626,95.248,81.434,74.113,90.642,66.854,0,0,0,0,0,0,0
Fornecedores PC,416.116,368.751,471.331,497.751,541.060,560.475,627.883,524.683,602.536,395.283,335.185,346.120,283.769,261.737,280.296,273.864,276.201,242.174,275.420,251.431,224.308,192.004,189.941,201.352,163.858,146.450,365.314,336.402,282.835,268.399,335.064,284.476,268.893,254.136,318.885,294.870,264.601,240.562,229.350,178.552,162.401,120.931
Obrigações Fiscais PC,248.669,216.746,304.658,396.651,346.145,333.677,437.235,297.295,202.263,170.910,279.499,247.501,200.448,184.809,280.246,250.061,195.078,155.445,328.028,340.945,261.362,226.667,381.115,352.343,260.450,219.428,334.504,287.541,210.183,215.812,184.739,189.771,164.731,126.960,169.472,103.242,95.170,92.430,93.507,60.538,57.947,58.658
Empréstimos e Financiamentos PC,3.160.687,2.750.288,2.988.089,2.354.876,2.052.211,3.219.744,3.514.837,3.331.940,4.489.729,5.290.323,5.391.756,5.102.361,4.828.995,6.370.061,6.097.929,6.706.078,5.547.290,4.053.597,3.436.273,3.042.795,2.876.872,2.787.888,2.329.307,2.000.491,1.858.745,2.531.125,2.519.747,3.308.556,3.501.900,3.142.998,1.882.470,1.405.725,1.811.121,1.892.481,1.845.639,1.050.724,935.604,900.203,1.007.961,1.975.166,2.077.411,2.016.122
Passivos com Partes Relacionadas PC,148.527,142.651,158.867,122.527,117.394,119.082,147.700,124.967,107.914,93.632,101.124,55.979,55.336,65.227,76.743,57.532,53.757,56.783,46.290,47.401,44.308,60.879,63.042,74.143,54.808,49.757,86.787,78.380,76.705,44.054,68.843,86.424,62.543,61.699,72.638,107.876,109.293,83.351,93.670,68.712,50.935,44.840
Dividendos e JCP a Pagar PC,375,352,1.511,324,325,313.219,313.220,316,316,270,270,222,628,500.589,589,479,479,479,514,1.299.644,435,422,422,1.201.181,271,258,257,953.554,185,124,124,125,36,24,4.293,0,0,0,109.241,1.746,42.731,143.506
Outros PC,632.555,637.298,603.798,215.184,215.942,356.583,356.748,498.573,716.061,676.938,639.573,670.584,601.321,555.023,409.690,357.296,318.078,183.975,184.105,171.658,106.594,175.637,100.669,96.011,107.878,112.433,149.632,139.324,111.782,119.125,122.762,86.496,99.138,342.534,280.325,223.688,195.550,179.139,85.815,86.492,74.786,111.456
Provisões PC,206.903,252.154,289.081,274.633,288.566,290.522,297.972,301.981,265.406,229.212,237.959,146.894,178.250,154.656,125.384,139.408,106.125,106.293,85.822,112.562,133.379,158.418,153.171,180.291,162.463,135.001,147.912,207.614,171.529,171.895,222.821,142.419,204.888,261.056,283.567,140.465,168.239,222.589,29.285,305.349,194.776,100.797
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,16.973.696,17.800.501,17.327.641,18.043.628,17.191.121,16.848.890,16.207.695,14.254.498,12.819.696,12.144.150,13.235.306,12.364.975,12.308.483,10.918.299,10.311.723,8.324.231,8.773.819,9.622.471,9.038.932,8.591.116,7.400.541,7.194.731,7.201.170,6.610.848,6.627.073,5.969.865,7.199.803,6.145.719,5.797.690,5.581.399,6.725.080,7.450.918,6.929.490,6.689.342,6.585.468,5.735.603,5.812.421,5.492.819,4.524.534,3.087.223,2.252.796,2.320.478
Empréstimos e Financiamentos PNC,13.627.307,14.345.654,14.037.654,15.360.660,14.529.985,14.104.829,13.390.410,11.405.667,10.165.895,9.655.778,10.794.751,9.844.780,9.836.072,8.406.540,8.037.178,6.175.124,6.669.544,7.485.127,7.014.488,6.226.235,6.031.403,5.861.246,5.932.301,5.390.478,5.410.768,4.771.017,5.634.667,4.600.505,4.353.660,3.837.942,5.065.405,5.593.192,5.096.822,4.889.508,4.865.842,4.367.769,4.467.592,4.199.329,4.052.006,2.684.156,1.854.949,1.919.673
