"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - SABESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Tributos Diferidos ACLP,0,0,0,0,0,0,0,108.550,170.801,175.320,186.345,149.023,125.155,127.197,128.242,348.913,75.100,377.154,209.478,121.342,143.440,128.309,114.030,141.625,135.672,166.594,141.356,191.537,142.162,181.686,179.463,133.651,76.252,91.953,78.440,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,619.465,634.387,649.334,638.951,647.891,669.156,714.210,719.571,720.473,715.952,678.337,689.267,700.197,102.018,101.093,110.881,120.669,130.457,126.413,135.233,144.052,153.098,146.373,154.345,162.317,170.288,164.381,197.271,218.634,231.076,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,670.879,670.019,669.102,674.876,666.702,331.972,306.296,306.713,264.597,269.768,273.829,281.476,280.036,314.034,305.707,250.168,290.788,298.948,279.408,266.761,243.593,265.346,256.782,251.682,249.928,257.886,279.436,283.398,253.877,254.837,254.957,303.939,290.626,276.962,301.666,0,0,0,0,0,0,0
Investimentos,108.414,104.661,92.207,89.415,88.925,98.044,94.584,93.695,92.476,90.904,89.064,87.904,87.405,86.847,85.062,81.999,85.683,76.132,75.262,76.237,77.397,77.334,77.699,76.714,74.961,75.061,54.046,54.046,54.046,52.585,52.585,0,0,0,0,0,0,0,720,720,720,719
Imobilizado,283.957,279.120,267.612,246.648,246.725,247.472,255.050,259.737,273.352,284.180,302.383,309.111,324.211,326.581,325.076,299.526,307.434,309.721,304.845,309.405,277.175,237.614,199.496,185.160,190.865,195.286,383.383,401.337,393.709,370.174,356.468,315.421,279.340,259.620,249.606,211.293,186.137,187.146,15.443.211,15.404.423,15.241.117,15.047.337
Intangível,30.145.497,28.940.478,29.012.460,34.733.457,34.255.596,33.830.711,33.466.132,32.684.419,32.180.957,31.680.567,31.246.789,30.366.200,29.501.360,28.893.800,28.513.626,28.020.539,27.043.222,26.309.188,25.979.525,25.302.155,24.630.944,24.171.756,23.846.232,23.275.667,22.892.184,22.365.917,21.991.922,21.386.291,20.885.416,20.499.905,20.141.677,19.612.574,19.128.760,18.759.209,18.546.835,0,0,0,1.545.303,1.093.517,841.403,837.807
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,43.984.577,43.313.455,43.565.122,42.246.074,40.970.555,40.685.617,39.546.446,38.373.429,37.136.339,37.298.455,36.745.032,35.290.513,34.417.222,33.973.592,33.706.617,32.456.526,31.120.003,31.612.764,30.355.440,29.760.012,28.983.527,28.790.512,28.274.295,27.560.792,26.983.475,26.999.761,26.675.792,25.953.817,25.344.936,25.392.325,25.214.984,24.548.479,23.793.066,24.117.336,23.350.583,0,0,0,0,0,0,0
Passivo Circulante,4.450.522,4.874.771,5.398.632,4.484.101,4.254.856,4.968.725,4.771.880,3.724.837,3.814.174,4.369.417,4.302.508,3.887.333,3.845.795,3.959.221,3.740.316,2.990.989,2.892.090,3.560.588,3.480.576,2.630.823,2.452.310,2.967.797,2.972.381,2.716.136,2.703.029,3.390.179,3.797.370,3.626.811,3.392.246,3.388.392,3.968.668,2.956.368,2.922.935,3.675.517,3.506.114,3.127.998,3.207.213,3.073.662,3.109.896,3.539.524,3.325.041,3.036.288
Obrigações Sociais e Trabalhistas PC,548.023,510.708,564.830,609.295,578.926,633.146,588.073,598.330,511.541,454.654,458.299,420.020,374.154,368.587,347.976,397.105,353.717,370.597,387.971,405.718,350.270,368.980,314.926,354.514,312.419,302.966,267.863,317.467,283.272,286.664,243.876,309.861,273.712,250.898,246.467,0,0,0,0,0,0,0
Fornecedores PC,454.105,427.383,465.993,384.482,271.137,310.685,344.947,284.833,384.174,201.694,311.960,257.166,236.626,198.089,248.158,225.804,254.389,238.468,323.513,314.280,249.768,230.651,275.051,217.658,239.393,210.291,297.198,257.128,195.275,207.118,255.557,211.318,172.719,158.161,144.043,194.578,175.933,168.704,195.765,230.915,183.042,175.657
Obrigações Fiscais PC,272.519,168.037,200.563,109.114,131.299,126.977,183.965,128.115,112.525,168.754,168.757,169.604,329.185,314.830,107.295,75.724,70.590,61.038,74.138,53.444,53.288,66.895,115.382,231.167,86.713,139.346,153.121,221.436,121.248,172.772,181.122,130.968,156.555,201.127,158.050,182.058,168.692,235.433,218.867,193.457,145.586,139.814
