"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - CSN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/09/2019,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009
Tributos Diferidos ACLP,0,0,0,0,0,0,79.513,63.119,51.052,55.681,88.050,70.151,70.650,73.108,62.864,3.307.027,3.232.193,3.298.157,3.285.500,2.616.058,3.354.960,3.282.979,3.079.049,2.770.527,2.860.413,2.977.273,2.521.107,2.372.501,2.419.929,2.490.751,1.851.028,1.840.773,1.484.749,1.342.403,1.559.215,1.592.941,0,0,0,0,0,0
Despesas Antecipadas ACLP,1.729.424,1.743.405,69.465,89.394,73.207,65.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.154,115.755,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.120,479.120,479.120,479.120,479.120,479.120,479.120
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,0,2.593.468,2.528.475,1.727.145,1.708.622,1.703.152,1.675.820,1.554.787,1.532.572,1.591.047,1.583.921,1.255.979,1.060.622,929.115,947.420,1.199.677,1.199.255,1.405.246,1.835.325,1.685.158,1.662.675,1.594.802,1.648.056,2.885.485,2.835.025,2.742.662,2.866.226,2.443.845,2.385.859,3.326.204,3.306.094,3.168.820,3.141.001,3.109.138,1.599.405,1.197.805,1.192.760
Investimentos,5.439.094,5.606.951,5.791.267,5.630.613,5.521.085,5.340.373,5.865.593,5.499.995,5.293.244,4.728.154,4.652.783,4.568.451,5.078.288,4.400.294,4.084.739,3.998.227,13.951.071,13.526.104,14.250.403,13.665.453,13.204.192,13.005.972,13.417.079,13.487.023,11.238.283,10.362.962,10.588.232,2.351.774,1.923.283,1.218.532,2.507.176,2.088.225,2.106.879,1.876.930,3.104.520,2.103.624,1.955.414,665.129,463.932,321.889,1.360,1.127
Imobilizado,18.994.385,18.829.664,18.682.759,18.046.863,17.868.943,17.807.368,17.923.453,17.964.841,17.875.821,17.897.740,17.921.071,18.135.880,18.013.518,17.908.165,17.834.883,17.871.600,16.928.892,16.105.894,15.782.164,15.624.140,15.341.609,15.130.171,14.916.278,14.911.426,19.946.346,19.352.533,18.890.009,20.408.748,20.164.129,19.611.089,19.058.399,17.377.075,16.134.905,14.891.885,14.309.434,13.776.567,12.890.713,12.193.675,11.352.240,11.145.530,10.728.377,10.524.104
Intangível,7.231.216,7.218.376,7.232.748,7.253.175,7.296.008,7.299.097,7.269.328,7.272.046,7.272.610,7.292.691,7.263.844,7.258.404,7.308.111,7.305.940,7.382.884,5.458.509,1.073.755,955.090,964.376,943.653,1.001.581,925.523,946.404,965.440,960.095,927.183,878.775,1.275.452,818.292,814.596,805.304,603.374,542.286,463.539,464.689,462.456,465.221,468.961,471.615,457.580,464.224,504.981
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.469,35.695,38.040
Passivo Total,50.897.510,51.724.354,49.952.506,47.327.523,46.226.199,46.204.539,44.841.714,45.209.969,43.873.710,43.846.992,43.778.163,44.153.623,44.152.623,43.145.687,44.653.793,48.649.978,52.648.559,50.117.825,51.568.443,49.767.100,49.731.949,49.164.218,49.861.825,50.402.542,54.448.001,54.216.745,52.712.026,49.295.229,49.365.078,47.455.273,47.946.043,46.869.705,45.362.729,38.880.629,40.271.282,0,0,0,0,0,29.709.799,27.649.708
Passivo Circulante,12.274.298,11.382.608,12.077.635,11.438.552,10.814.432,10.456.884,9.492.525,10.670.050,7.848.924,6.710.153,5.407.953,5.496.683,5.034.019,4.181.108,4.504.777,5.325.571,4.383.501,5.073.656,5.522.042,6.362.938,7.155.426,7.026.116,6.704.889,5.564.230,6.741.010,6.720.191,7.039.603,6.408.076,5.633.091,5.674.534,6.748.664,6.496.947,5.027.732,4.658.434,5.312.080,4.455.955,5.813.700,4.225.084,4.063.990,5.128.196,5.182.070,6.942.100
