"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - CYRELA BRAZIL REALTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Contas a Receber ACLP,524.435,574.383,0,0,0,582.382,597.822,547.486,514.839,735.313,764.714,817.350,862.899,784.757,958.646,969.640,800.546,788.437,789.648,791.482,874.288,934.231,1.170.604,1.135.489,1.204.399,1.383.629,1.529.411,1.438.264,1.729.395,2.107.805,1.749.215,1.674.876,1.908.726,2.076.891,2.114.555,2.960.607,2.655.649,3.264.186,3.160.976,3.018.119,2.798.034,3.026.506
Estoques ACLP,1.876.660,1.642.790,612.854,705.125,636.191,1.332.066,1.531.414,1.569.146,1.577.051,1.417.563,1.415.069,1.561.478,1.594.582,1.761.430,1.924.309,1.769.410,1.929.683,2.174.461,2.081.213,2.380.374,1.941.374,2.125.690,2.358.979,2.353.649,1.518.900,1.194.581,1.085.613,1.763.706,1.425.026,1.452.368,900.327,725.011,670.365,753.006,752.751,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,1.623.314,1.582.864,1.401.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,816,935,0,0,0,0,0,0,0,0,0,11,0,0,0,17,84,1.902,18,373,189,56,2.567,8.897,6.652,4.512,15.043,12.586,16.376,10.125,8.501,7.295,7.281,4.311,7.735,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,0,0,1.231,1.072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,331.124,332.881,0,0,0,365.272,349.914,285.106,301.131,322.866,340.973,307.731,291.823,296.251,216.893,201.112,209.036,201.691,190.441,163.447,179.240,198.590,227.174,384.326,367.929,444.786,357.236,513.781,518.402,440.078,363.584,379.621,403.378,423.866,366.862,437.295,452.713,411.760,362.767,379.106,429.700,364.209
Outros Ativos Não Circulantes ACLP,207.343,237.868,289.000,247.826,338.828,228.486,224.109,199.539,203.608,233.864,218.880,182.895,168.313,112.593,141.249,94.015,114.162,213.412,266.908,707.313,775.317,760.210,815.900,761.955,736.785,638.620,800.805,449.217,437.526,360.859,39.632,36.580,35.621,40.298,40.311,26.213,23.814,28.009,25.528,37.518,44.338,46.214
Investimentos,785.950,787.419,876.395,863.604,888.884,922.090,836.822,813.509,913.701,907.923,903.345,764.350,710.950,716.684,745.841,753.205,757.367,649.890,694.614,739.253,720.167,718.234,708.087,683.728,681.451,1.039.755,8.471,7.999,7.336,6.737,6.886,6.461,6.815,6.324,6.179,5.809,5.643,5.491,12.210,11.119,315.221,297.373
Imobilizado,76.881,75.971,68.899,64.972,56.116,60.445,61.159,61.890,64.087,72.296,85.690,96.531,111.042,114.663,139.671,151.384,163.103,167.307,171.442,164.763,167.276,164.309,156.563,155.038,153.072,167.355,173.901,175.952,189.343,191.871,197.318,181.605,163.535,164.415,168.723,159.736,154.235,143.890,133.139,124.435,105.835,101.275
Intangível,21.200,24.362,27.077,30.523,33.316,35.811,39.809,43.853,46.312,62.853,66.063,70.843,74.781,78.644,85.090,92.118,102.982,101.691,100.768,87.141,86.336,88.731,90.623,90.101,81.311,90.553,87.606,84.478,84.218,86.286,88.425,89.275,83.845,84.476,90.690,95.447,98.972,98.599,108.178,128.802,23.850,16.587
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,9.772.333,9.742.527,9.829.268,10.499.600,10.010.071,9.652.269,10.401.541,10.931.386,11.340.173,11.940.930,11.879.699,12.079.418,12.243.534,12.666.844,12.729.588,13.416.693,13.314.373,13.326.248,13.420.612,13.965.433,13.896.935,14.416.449,14.387.099,14.039.473,13.620.424,13.898.293,13.829.895,13.616.873,13.603.554,13.531.460,13.416.769,13.496.668,12.931.957,12.489.039,12.042.561,0,0,0,0,8.863.939,7.896.224,7.766.726
Passivo Circulante,1.815.976,1.733.043,1.679.935,2.183.578,2.390.693,2.245.877,2.203.122,2.303.515,2.493.065,2.288.256,2.276.008,2.647.937,2.658.095,2.879.945,3.037.540,3.203.756,3.208.220,3.472.825,4.059.614,3.780.863,3.611.950,3.833.314,3.886.979,3.705.420,3.828.647,3.857.624,4.290.025,4.127.029,4.409.717,4.281.039,4.155.561,4.634.495,4.512.211,4.191.677,3.921.657,3.929.915,3.869.537,3.669.614,3.822.157,3.164.301,2.892.687,3.089.548
