"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - PÃO DE AÇÚCAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Estoques ACLP,204.000,0,132.000,714.000,660.000,0,0,0,0,0,0,0,0,0,0,0,0,172.000,172.000,171.757,172.280,172.280,172.280,172.280,172.280,172.280,172.280,110.810,110.810,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,518.000,0,0,0,147.000,121.000,162.000,170.000,181.000,170.000,296.000,330.000,364.000,406.000,568.000,500.000,505.000,491.000,860.581,870.413,917.956,950.757,1.024.605,1.057.286,1.047.162,1.078.842,1.158.838,1.185.012,1.210.605,1.249.687,1.188.548,1.180.342,1.358.366,1.392.509,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,294.000,15.000,207.000,207.000,174.000,51.000,43.000,49.000,49.000,42.000,45.000,47.000,67.000,66.000,50.000,39.000,35.000,37.000,37.000,39.714,46.575,49.136,49.914,51.045,53.631,57.439,61.892,52.283,43.114,41.081,36.899,29.709,33.645,32.536,54.204,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,18.000,39.000,59.000,57.000,60.000,52.000,25.000,22.000,19.000,28.000,17.000,345.000,342.000,312.000,309.000,358.000,357.000,333.000,313.000,263.810,203.876,166.781,172.836,200.159,199.471,187.272,172.164,169.391,146.351,151.729,133.415,220.509,140.813,143.269,176.241,89.337,70.157,59.699,266.102,259.561,271.831,269.512
Outros Ativos Não Circulantes ACLP,37.000,3.707.000,34.000,33.000,31.000,2.599.000,2.537.000,2.158.000,2.027.000,1.333.000,1.293.000,3.444.000,3.624.000,3.486.000,3.466.000,3.687.000,3.452.000,3.234.000,2.993.000,2.574.981,2.466.315,2.376.462,2.244.211,2.604.663,2.568.927,2.607.452,2.542.993,2.415.807,2.220.053,1.834.880,1.772.025,1.169.134,1.093.936,1.228.993,1.163.899,0,0,0,0,0,0,0
Investimentos,232.000,236.000,223.000,227.000,209.000,188.000,198.000,298.000,282.000,356.000,339.000,488.000,468.000,439.000,407.000,504.000,482.000,447.000,426.000,393.433,358.576,330.953,309.528,389.551,373.977,371.284,362.429,366.056,269.450,258.102,253.250,242.936,231.548,228.859,232.540,225.005,213.751,195.405,212.427,141.188,136.828,117.823
Imobilizado,13.425.000,13.181.000,9.650.000,9.244.000,8.975.000,9.150.000,9.138.000,9.187.000,8.985.000,8.972.000,9.182.000,10.603.000,10.532.000,10.419.000,10.377.000,10.192.000,10.023.000,9.831.999,9.699.000,9.396.080,9.187.073,9.106.657,9.053.600,8.659.711,8.506.243,8.294.592,8.114.498,7.733.939,7.554.011,7.436.281,7.358.250,7.144.562,6.980.859,6.861.785,6.703.595,5.890.285,5.633.694,5.502.130,5.248.941,5.108.548,4.817.184,4.830.723
Intangível,2.877.000,2.868.000,2.675.000,1.937.000,1.926.000,1.920.000,1.924.000,1.908.000,1.887.000,1.897.000,1.908.000,6.039.000,6.472.000,6.567.000,6.543.000,6.581.000,6.537.000,6.489.000,6.495.000,6.419.128,5.698.539,5.698.424,5.700.657,4.935.552,4.896.556,4.953.120,4.975.556,4.941.826,5.032.297,4.976.655,5.026.233,4.904.240,4.854.800,4.898.144,4.881.765,2.046.829,2.067.457,2.087.498,1.374.000,1.659.928,704.539,700.717
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,32.866.001,57.671.999,52.849.000,47.877.001,46.493.000,45.416.002,47.928.001,41.736.999,41.010.999,41.392.001,45.217.001,41.956.000,42.034.000,43.484.000,47.240.999,42.268.000,41.465.000,42.967.998,45.499.998,39.228.113,35.462.144,35.957.879,38.008.353,33.575.524,33.402.053,34.237.985,35.396.231,34.757.517,33.955.039,32.030.167,33.769.003,30.952.708,30.423.372,30.228.824,29.932.749,0,0,0,0,0,0,0
Passivo Circulante,12.553.000,32.724.001,32.785.000,26.608.001,26.016.000,25.611.000,28.992.000,23.054.000,22.161.000,23.911.999,27.581.999,22.328.001,21.667.000,22.692.000,25.273.000,20.199.999,19.312.001,20.962.001,23.847.999,17.284.624,14.596.779,14.294.663,17.012.754,13.234.808,13.309.534,13.675.268,13.955.393,11.893.777,11.297.303,11.445.014,13.501.202,10.219.943,9.961.613,10.057.987,10.816.898,5.898.125,5.856.800,5.838.008,5.801.737,6.845.223,4.561.653,3.532.461
Obrigações Sociais e Trabalhistas PC,652.000,694.000,686.000,696.000,615.000,664.000,640.000,647.000,602.000,609.000,614.000,1.111.000,1.052.000,1.001.000,1.023.000,914.000,805.000,926.000,864.000,1.009.915,850.138,781.130,796.188,939.219,775.765,710.340,728.970,964.663,836.817,712.236,758.663,803.087,645.427,530.471,595.558,0,0,0,0,0,0,0
Fornecedores PC,6.827.000,6.481.000,9.246.000,6.439.000,6.369.000,5.511.000,8.128.000,5.495.000,5.172.000,5.241.000,7.232.000,8.520.000,10.268.000,10.849.000,15.508.000,10.791.999,10.291.000,11.083.000,13.322.000,8.261.429,6.753.298,7.004.765,8.547.544,5.681.576,5.856.572,5.768.612,6.803.240,4.929.404,4.569.706,4.715.630,6.278.757,4.623.002,4.475.085,4.864.379,5.306.349,3.274.124,3.263.749,3.406.065,4.004.397,3.062.555,1.971.236,2.215.420
Obrigações Fiscais PC,470.000,364.000,370.000,286.000,264.000,273.000,301.000,212.000,363.000,203.000,254.000,696.000,729.000,932.000,830.000,768.000,684.000,652.000,867.000,733.175,769.163,719.999,824.164,601.989,585.574,577.536,650.761,162.179,180.175,198.995,332.416,238.950,299.925,358.375,353.894,185.350,282.533,246.789,313.672,142.097,107.427,84.771
