"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - METALÚRGICA GERDAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,3.787.600,0,0,0,3.078.630,3.054.393,2.854.922,3.047.007,2.943.194,3.407.230,3.472.308,3.437.264,4.056.899,4.309.540,4.550.957,3.609.668,3.555.570,2.571.371,2.532.855,2.092.982,2.138.562,2.220.085,2.358.406,2.266.367,1.898.363,2.376.709,2.302.104,2.242.802,1.774.362,1.658.416,1.540.628,1.406.186,1.530.596,1.683.813,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,3.627.519,0,3.874.054,3.610.574,3.511.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514.401,527.767,401.502,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,74.160,0,0,0,44.992,51.839,51.462,54.052,54.689,57.541,57.779,60.714,60.162,54.376,44.008,61.975,120.257,80.908,68.917,77.028,89.408,87.149,82.865,84.350,156.066,132.478,112.775,83.843,76.084,82.088,226.038,160.957,0,0,0,0,0,822,0,0,642
Outros Ativos Não Circulantes ACLP,63.126,3.031.743,27.939,41.506,42.690,2.623.361,2.628.847,2.602.093,2.574.567,2.508.180,2.436.830,2.567.602,2.553.435,2.383.550,2.421.913,2.312.705,2.168.104,2.142.263,2.085.315,2.481.611,2.350.834,2.052.877,2.035.639,1.739.108,1.680.880,1.636.889,1.595.796,1.535.336,1.461.633,1.664.799,1.636.738,1.135.504,1.008.119,960.936,1.337.707,2.818.599,2.937.995,2.839.615,0,163,286,0
Investimentos,1.695.371,1.379.597,1.367.802,1.472.356,1.454.877,1.331.444,1.280.299,1.212.300,1.343.010,975.174,798.844,1.031.045,1.107.969,1.246.645,1.392.882,1.494.365,1.561.457,1.667.710,1.394.383,1.331.119,1.514.519,1.554.272,1.590.031,1.496.801,1.491.831,1.344.223,1.441.914,1.462.199,1.711.873,1.537.130,1.440.105,1.459.363,1.288.492,1.307.258,1.283.716,0,0,0,7.961.177,8.046.123,8.034.264,8.716.353
Imobilizado,16.258.302,16.392.413,15.547.094,15.807.410,16.037.499,15.510.868,16.444.367,18.098.358,18.502.683,18.916.700,19.352.529,20.075.190,20.165.472,22.323.327,23.256.375,24.761.864,23.444.427,23.772.039,22.132.447,21.695.066,21.085.317,21.242.636,21.419.743,20.795.861,20.462.463,19.611.902,19.690.865,19.290.145,18.406.941,17.443.453,17.295.831,16.883.116,15.799.910,16.027.862,16.172.403,0,0,0,929,951,973,994
Intangível,9.748.383,9.912.856,9.948.486,10.319.663,10.068.290,8.832.993,8.863.231,10.283.055,10.761.032,10.402.080,10.789.957,13.674.888,13.617.566,15.071.973,16.488.787,19.248.693,16.135.788,16.777.470,14.195.514,13.373.226,12.226.599,12.534.555,12.942.977,12.392.039,12.276.256,11.271.213,11.489.825,11.389.542,11.311.573,10.302.345,10.521.510,10.425.158,8.952.460,9.289.498,9.428.277,965.918,969.668,997.882,1.087.237,1.087.237,1.087.237,1.087.237
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,51.170.656,52.190.061,51.344.417,56.180.777,54.517.367,51.029.271,50.351.780,52.624.151,54.223.303,53.603.664,54.758.969,58.798.559,58.298.384,65.072.185,70.218.777,76.685.869,68.925.710,71.004.783,63.253.422,61.812.392,58.183.635,57.827.942,58.503.963,56.499.466,55.326.351,52.079.391,53.370.114,53.866.168,53.596.406,49.877.946,50.172.211,49.642.787,45.242.786,43.165.995,43.116.704,0,0,0,9.347.591,9.235.787,9.217.837,9.929.192
