"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - AMBEV S/A,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012
Intangível,40.392.929,40.243.114,40.116.777,40.530.784,37.855.662,35.798.520,36.076.577,35.524.727,36.335.935,35.375.550,35.757.081,34.394.272,34.445.054,36.084.728,36.045.263,36.355.273,32.924.176,33.312.197,31.257.805,30.435.039,29.459.888,29.543.504,30.234.681,29.929.955,29.929.984,0,0
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,98.738.979,96.905.535,94.126.137,95.691.039,90.921.361,82.378.940,86.851.994,83.020.423,84.124.008,80.733.946,83.841.417,79.110.193,76.656.714,80.248.013,90.176.233,88.043.176,74.436.157,75.101.184,72.143.200,65.125.921,62.989.046,63.297.044,68.674.015,59.618.976,58.739.270,1.340.374,1.346.301
Passivo Circulante,22.640.990,23.252.886,24.828.371,25.560.001,27.354.843,22.850.308,28.688.476,23.481.743,26.015.980,23.904.354,28.773.650,21.877.422,21.894.846,21.904.013,30.141.911,28.055.751,20.728.312,21.767.887,21.824.784,14.590.587,14.456.702,16.170.391,17.180.582,10.544.780,10.060.018,46.866,30.259
Obrigações Sociais e Trabalhistas PC,1.071.641,863.181,851.619,1.032.645,879.528,779.945,1.047.182,858.084,799.488,750.998,686.627,776.259,687.957,662.798,915.542,990.927,713.770,615.576,598.360,577.373,488.236,531.316,722.090,542.083,456.242,0,30.259
Fornecedores PC,11.107.836,11.911.196,12.774.162,10.437.940,9.489.260,9.574.965,10.418.429,7.813.570,7.683.124,8.684.987,9.793.009,7.698.589,7.417.783,9.152.026,11.109.093,8.781.517,7.349.535,8.199.044,8.708.739,6.950.304,6.617.454,6.828.317,7.925.421,5.532.420,4.911.666,0,0
Obrigações Fiscais PC,3.700.531,3.878.339,5.340.211,3.717.106,4.370.681,3.897.050,5.493.847,4.473.759,3.051.012,3.077.053,4.282.418,2.947.038,2.386.839,2.862.961,4.342.096,3.238.257,2.883.730,3.042.100,3.543.689,2.231.823,2.888.665,2.990.676,3.122.569,2.238.735,2.274.949,0,0
Empréstimos e Financiamentos PC,2.563.965,2.657.486,1.560.630,3.735.559,3.715.532,3.278.899,1.321.122,1.968.899,3.590.840,3.469.544,3.630.604,2.517.510,1.665.114,1.666.384,1.282.573,997.327,1.058.483,994.518,988.056,794.886,869.694,922.265,1.040.603,897.854,897.002,0,0
Passivos com Partes Relacionadas PC,1.369.839,1.411.685,1.275.883,1.598.743,1.671.955,1.425.960,1.435.499,1.486.855,1.440.357,1.177.997,1.075.748,1.030.313,676.698,712.539,724.596,1.060.514,850.688,0,0,0,0,0,0,0,0,24.725,0
Dividendos e JCP a Pagar PC,896.878,775.305,806.981,942.031,3.283.742,747.105,1.778.633,736.432,3.139.950,615.482,1.714.401,584.492,2.613.829,578.951,598.573,649.515,495.254,498.622,2.435.350,448.605,374.421,2.379.139,1.095.168,281.827,177.135,22.141,0
Outros PC,1.787.556,1.610.696,2.045.887,3.922.822,3.769.886,2.977.652,7.024.807,5.975.484,6.142.485,5.959.732,7.422.207,6.154.539,6.328.140,6.146.952,11.046.292,12.215.764,7.167.861,8.276.886,5.411.355,3.456.782,3.063.177,2.374.356,3.129.773,915.832,1.203.002,0,0
Provisões PC,142.744,144.998,172.997,173.154,174.259,168.731,168.957,168.662,168.725,168.561,168.636,168.682,118.486,121.403,123.149,121.929,208.992,141.140,139.234,130.814,155.055,144.322,144.958,136.029,140.022,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,13.169.213,13.162.009,11.750.344,10.108.688,10.126.972,9.760.390,10.180.658,10.599.000,8.375.968,8.148.715,8.416.495,8.068.854,8.699.247,9.323.895,9.700.688,9.684.700,7.782.061,7.220.915,6.673.751,6.911.235,6.583.738,7.021.086,7.496.039,9.388.595,9.122.570,334.880,338.835
Empréstimos e Financiamentos PNC,2.334.348,2.427.752,862.138,1.245.212,1.141.463,1.188.756,1.231.928,1.360.712,1.326.796,1.663.384,1.765.706,1.691.886,1.968.210,2.293.456,2.316.903,1.988.194,1.607.530,1.696.525,1.634.567,1.719.091,1.787.039,1.832.055,1.853.452,2.101.849,2.111.693,0,0
Passivos com Partes Relacionadas PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros PNC,7.891.951,7.885.983,8.037.412,5.749.287,5.753.285,5.703.508,6.106.921,6.437.928,3.895.222,3.415.210,3.555.697,4.244.476,4.090.868,4.144.575,4.410.726,4.304.746,3.180.053,3.051.086,2.758.333,3.116.704,2.629.108,3.042.328,3.115.208,5.287.567,5.114.876,0,0
Tributos Diferidos PNC,2.475.956,2.394.771,2.424.567,2.581.367,2.740.088,2.377.971,2.329.229,2.276.540,2.264.462,2.226.851,2.329.722,1.734.526,2.204.757,2.461.468,2.473.535,2.704.540,2.249.273,1.896.973,1.737.631,1.701.318,1.720.917,1.712.877,2.095.686,1.547.059,1.437.614,334.880,338.835
Adiantamento para Futuro Aumento Capital PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provisões PNC,466.958,453.503,426.227,532.822,492.136,490.155,512.580,523.820,889.488,843.270,765.370,397.966,435.412,424.396,499.524,687.220,745.205,576.331,543.220,374.122,446.674,433.826,431.693,452.120,458.387,0,0
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucros e Receitas a Apropriar PNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Participação dos Acionistas Não Controladores,1.303.586,1.382.121,1.206.801,1.064.619,1.178.788,944.427,1.974.041,1.773.569,1.962.843,1.836.118,1.826.225,1.732.314,1.761.612,1.942.244,2.001.750,2.027.970,1.735.371,1.794.362,1.423.075,1.228.763,1.134.143,1.183.099,1.158.620,1.051.622,12.927.075,0,0
Patrimônio Líquido,61.625.191,59.108.516,56.340.623,58.957.739,52.260.753,48.823.820,46.008.813,47.166.111,47.769.220,46.844.756,44.825.048,47.431.605,44.301.009,47.077.861,48.331.880,48.274.752,44.190.419,44.318.021,42.221.595,42.395.337,40.814.459,38.922.467,42.838.781,38.633.977,26.629.606,958.628,977.207
Capital Social Realizado,57.800.995,57.798.844,57.710.199,57.710.199,57.710.199,57.710.199,57.614.139,57.614.139,57.614.139,57.614.139,57.614.139,57.614.139,57.614.139,57.614.139,57.614.139,57.614.139,57.614.139,57.614.139,57.582.346,57.508.839,57.131.287,57.026.675,57.000.792,56.983.339,8.455.940,249.061,249.061
Reservas de Capital,54.811.668,54.740.390,54.781.190,54.736.716,54.697.005,54.641.959,54.700.909,54.612.603,54.583.878,54.527.033,54.529.782,54.490.882,54.449.934,54.419.079,54.373.454,54.302.593,54.621.647,54.986.125,55.023.268,55.095.534,55.309.119,55.384.994,55.362.433,55.776.862,7.210.126,38.585,0
Reservas de Reavaliação,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reservas de Lucros,15.341.367,15.341.367,15.434.093,8.660.235,8.660.235,8.660.235,8.660.235,9.700.248,9.700.248,9.700.248,9.700.248,6.162.152,6.162.152,6.162.152,8.201.323,2.904.091,2.904.091,2.904.091,4.883.945,1.854.524,1.854.524,1.854.524,5.857.853,1.043.995,1.043.995,0,51.648
Lucros/Prejuízos Acumulados,5.972.243,3.023.305,0,7.244.091,1.962.738,2.160.529,0,1.699.578,1.699.355,2.199.284,0,5.834.137,2.772.905,2.766.865,0,3.404.144,2.805.802,1.867.697,0,3.895.621,3.592.811,1.425.929,0,621.374,367.654,9.768,0
Ajustes de Avaliação Patrimonial,-72.301.085,-71.795.384,-71.584.866,-69.393.514,-70.769.426,-74.349.101,-74.966.475,-76.460.466,-75.828.396,-77.195.952,-77.019.120,-76.669.706,-76.698.124,-73.884.377,-71.857.029,-69.950.210,-73.755.263,-73.054.036,-75.267.965,-75.959.173,-77.073.277,-76.769.657,-75.382.292,-75.540.070,9.770.628,0,0
Ajustes Acumulados de Conversão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471.921,479.689,0,0
Outros Resultados Abrangentes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-723.442,-698.426,661.214,676.498
Adiantamento para Futuro Aumento Capital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
