"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - BR MALLS PARTICIPAÇÔES S/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Despesas Antecipadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,48.054,47.898,46.342,44.011,42.106,41.811,40.203,38.102,34.575,31.936,27.199,31.826,30.015,27.386,55.761,43.682,40.963,39.069,41.208,41.667,50.160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,57.311,52.440,64.390,56.072,50.198,96.342,112.302,78.300,69.811,75.687,93.284,92.210,102.064,102.894,89.509,52.118,52.018,47.487,47.841,47.459,46.967,46.345,45.695,45.608,43.724,42.374,40.346,46.252,44.666,40.274,36.516,103.333,39.314,31.322,0,9.728,748,2.932,3.592,1.555,1.148,2.661
Investimentos,17.070.412,16.469.387,16.484.158,15.557.679,15.474.785,15.434.931,15.390.375,17.310.474,17.386.385,17.764.729,17.818.808,18.597.536,18.553.541,18.394.259,18.337.960,18.359.788,18.542.426,17.988.399,17.955.971,17.683.268,17.542.396,17.108.552,17.235.268,16.688.904,16.493.536,15.958.049,16.100.665,13.651.712,13.672.416,12.456.634,12.582.924,11.072.695,10.152.467,9.823.450,9.676.115,7.519.280,7.365.179,7.027.722,6.945.992,2.826,2.825,2.825
Imobilizado,14.272,13.781,14.438,14.098,13.581,12.639,11.656,10.745,10.604,10.609,10.703,10.870,11.000,11.144,11.213,11.343,11.486,10.988,10.787,9.824,9.987,10.076,10.191,10.313,10.435,10.558,10.680,10.798,10.918,11.043,11.166,11.148,11.290,11.432,11.574,11.777,11.899,12.021,12.143,1.888.417,1.874.123,1.858.810
Intangível,101.698,85.898,79.778,79.064,73.635,73.762,74.453,71.931,66.781,67.006,67.272,65.442,63.315,62.832,61.597,51.087,49.779,42.119,35.330,31.831,23.541,16.135,16.360,9.854,10.242,10.772,10.899,11.472,9.900,9.800,12.258,11.805,12.039,11.377,11.172,10.273,10.210,9.073,8.726,648.605,648.356,648.209
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.965,7.236,6.595,6.865,7.523
Passivo Total,18.691.873,18.539.739,18.131.036,17.250.169,17.492.015,17.663.883,18.003.583,19.130.468,20.733.182,19.358.812,19.402.240,20.283.959,20.317.172,20.456.729,20.684.044,20.737.712,20.505.025,20.135.127,19.860.625,19.309.228,19.291.261,19.025.039,18.820.850,18.085.523,18.140.645,17.429.682,17.904.892,15.431.605,15.162.736,14.050.610,14.081.717,12.594.234,12.039.350,11.087.327,10.569.767,8.943.251,8.684.105,8.449.971,8.463.321,4.026.365,3.567.597,3.550.846
Passivo Circulante,488.118,943.924,948.573,872.782,686.446,618.338,830.202,1.033.317,2.527.054,1.212.347,835.029,560.719,693.652,1.059.478,1.350.512,1.488.265,1.444.953,893.892,837.014,919.877,1.052.472,1.167.877,1.397.128,1.059.128,960.331,1.097.627,1.436.806,1.449.011,912.136,843.710,1.032.080,685.889,522.490,481.890,505.359,500.213,328.787,278.337,306.736,236.205,265.528,247.201
Obrigações Sociais e Trabalhistas PC,36.484,23.252,49.328,39.376,29.535,19.961,26.994,24.001,23.912,16.026,43.252,37.689,23.190,13.663,48.819,40.375,27.526,21.908,57.823,42.300,30.424,23.516,69.169,67.842,57.399,43.397,76.681,63.126,54.471,44.099,66.815,52.465,45.611,38.268,37.852,0,0,0,0,0,0,0
