"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - COSAN SA INDUSTRIA E COMERCIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Tributos Diferidos ACLP,0,0,0,0,0,442.235,474.804,456.483,516.481,341.483,330.212,327.810,318.960,325.401,335.808,296.203,257.886,253.966,213.288,270.017,251.391,223.893,232.188,219.559,204.708,388.732,405.827,431.859,528.123,543.024,1.108.211,959.744,1.026.379,715.333,0,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,552.679,508.662,494.498,517.329,466.791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,203.876,197.219,235.665,221.344,201.543,197.520,194.484,212.527,0,0,398.763,504.481,517.768,542.375,681.512,720.550,722.460,733.436,753.153,1.195.796,1.176.606,1.215.410,91.954,76.016,77.845,79.612,81.411,149.866,151.821,153.167,0
Outros Ativos Não Circulantes ACLP,0,0,0,62.369,0,1.839.304,1.782.009,2.205.397,2.080.214,2.040.547,2.161.285,2.708.166,2.501.430,3.379.407,3.705.861,3.324.894,2.926.731,3.108.765,2.280.497,2.371.964,2.089.457,1.797.859,1.843.569,1.715.133,1.651.165,4.411.936,1.920.755,1.912.791,1.850.907,1.926.553,2.049.272,2.039.482,1.918.276,1.183.643,226.873,188.605,177.873,166.823,210.799,190.150,185.385,132.432
Investimentos,7.913.720,8.321.726,8.412.425,8.058.137,8.327.904,8.636.937,8.707.211,8.939.871,8.872.419,8.979.281,8.746.495,8.659.533,11.074.977,10.929.371,11.064.689,10.811.635,11.297.505,11.292.427,11.177.158,10.855.206,10.998.670,10.829.536,10.883.084,11.081.359,11.121.471,168.032,2.610.829,2.493.963,611.932,419.029,368.638,358.052,333.907,304.142,208.655,207.585,193.625,193.123,194.046,196.497,181.291,278.209
Imobilizado,466.939,481.858,498.413,415.634,412.969,407.667,412.325,382.314,376.340,381.842,389.329,393.488,392.832,396.143,401.800,383.654,372.858,370.970,351.435,1.360.812,1.320.690,1.296.841,1.271.910,1.249.958,1.206.120,7.435.103,7.016.528,7.000.517,7.678.322,7.866.963,7.835.194,7.928.774,8.260.010,7.980.524,6.173.922,5.878.400,5.836.039,5.561.065,4.871.534,4.671.373,4.516.362,3.493.947
Intangível,9.472.498,9.472.084,9.696.476,9.377.192,9.369.013,9.338.618,9.350.598,9.189.055,9.200.679,9.250.470,9.328.150,9.323.827,9.380.714,9.411.226,9.447.269,9.414.262,9.410.070,9.417.620,9.426.120,10.233.226,10.151.170,10.081.690,10.078.040,9.973.855,9.756.656,13.161.838,13.955.115,5.063.848,4.878.745,4.932.255,4.593.778,4.531.105,4.125.325,3.445.674,2.938.050,2.931.775,2.921.239,2.901.308,2.765.466,2.737.464,2.724.336,2.418.753
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,29.691.073,29.902.318,28.789.760,28.080.267,27.994.710,28.070.158,28.539.271,27.657.132,26.973.272,27.054.352,27.299.828,29.306.305,28.203.291,29.437.856,30.382.193,29.178.741,28.399.821,28.407.779,27.103.711,29.294.725,28.762.718,28.486.869,28.598.372,28.102.605,28.167.936,33.800.036,34.858.791,24.559.364,22.728.456,22.124.136,22.845.012,22.875.638,22.263.359,18.744.656,16.129.030,0,0,0,0,0,0,0
Passivo Circulante,4.779.970,4.728.923,3.994.218,4.300.290,4.322.914,4.229.134,4.991.391,4.228.596,3.700.691,3.405.068,3.222.805,3.581.242,3.456.419,3.394.322,3.345.053,3.219.208,3.024.941,2.671.925,2.545.209,2.267.138,2.085.745,2.346.254,2.637.257,2.950.733,3.438.933,4.710.438,4.454.106,3.214.502,3.121.609,2.077.938,2.406.884,2.556.687,2.428.904,2.457.376,2.918.920,2.722.811,2.457.269,2.117.869,2.345.505,2.628.960,2.369.674,2.325.230
Obrigações Sociais e Trabalhistas PC,0,0,0,0,0,0,0,0,0,0,0,95.249,81.916,62.864,106.407,94.756,77.604,62.518,101.115,0,0,68.099,103.296,105.593,109.172,274.430,257.127,221.244,232.544,183.660,158.206,191.546,183.277,183.560,0,0,0,0,0,0,0,0
Fornecedores PC,1.611.857,1.556.179,1.472.203,2.241.172,2.050.235,1.843.576,1.805.385,1.700.274,1.583.548,1.426.973,1.467.570,1.386.895,1.370.017,1.391.622,1.544.822,1.545.339,1.313.803,1.192.167,971.170,996.693,926.995,825.409,862.429,841.972,970.343,1.387.651,1.449.504,787.966,633.349,606.029,765.440,757.453,621.638,558.766,754.362,832.087,716.254,569.399,712.139,712.502,662.751,456.116
Obrigações Fiscais PC,562.218,355.992,238.120,294.105,283.888,281.592,401.157,277.566,242.897,202.123,274.679,264.283,229.058,191.350,167.961,179.123,160.194,132.720,328.061,229.286,236.250,210.912,227.200,242.944,215.462,246.049,423.218,208.943,175.968,241.719,282.433,328.874,247.108,245.284,218.783,239.154,197.350,215.862,200.979,230.925,189.792,168.596
