"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - VIAVAREJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,848.000,0,0,0,526.000,439.000,378.000,327.000,349.000,295.000,277.000,272.000,278.000,286.000,196.000,186.000,212.000,87.000,200.629,261.361,311.762,349.891,645.602,670.194,666.639,698.119,748.338,759.390,768.981,793.758,791.070,765.429,766.150,736.420,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,856.000,0,618.000,502.000,445.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,714,714,306,205,103,413,722,1.032,1.032,1.032,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,183.000,0,0,0,414.000,415.000,508.000,491.000,589.000,549.000,537.000,505.000,379.000,408.000,525.000,510.000,416.000,391.000,376.130,333.692,276.439,306.238,390.009,373.383,328.944,314.275,329.753,322.642,315.446,396.454,415.092,87.409,64.396,80.414,86.768,85.139,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,100.000,3.561.000,190.000,336.000,320.000,3.750.000,3.688.000,3.423.000,3.154.000,3.055.000,2.954.000,2.202.000,2.272.000,2.281.000,2.216.000,1.937.000,1.791.000,1.670.000,1.524.000,1.316.970,1.248.829,1.070.599,1.044.093,1.218.163,1.232.446,1.213.826,1.179.988,1.039.268,923.090,845.515,820.480,239.514,233.374,232.670,203.159,612.585,636.397,632.587,613.837,320.250,306.908,296.038
Investimentos,123.000,114.000,108.000,102.000,93.000,87.000,89.000,128.000,122.000,151.000,144.000,145.000,140.000,131.000,122.000,149.000,155.000,176.000,809.000,660.772,665.618,665.651,669.312,99.670,94.157,94.156,92.483,96.734,93.066,97.581,97.020,91.246,87.905,84.166,95.336,81.054,92.996,89.869,71.151,2.195,2.117,1.395
Imobilizado,4.554.000,4.528.000,1.449.000,1.421.000,1.380.000,1.412.000,1.423.000,1.355.000,1.371.000,1.402.000,1.438.000,1.353.000,1.361.000,1.372.000,1.407.000,1.386.000,1.384.000,1.330.000,1.313.000,1.237.828,1.178.227,1.161.876,1.149.500,1.071.192,1.020.805,1.034.748,1.027.349,976.673,936.752,913.115,911.914,868.835,812.279,789.358,777.513,171.817,179.241,180.112,183.249,189.041,188.925,240.181
Intangível,1.402.000,1.388.000,1.427.000,1.362.000,1.296.000,1.249.000,1.233.000,1.231.000,1.210.000,1.229.000,1.257.000,1.052.000,1.063.000,1.076.000,1.080.000,1.075.000,1.071.000,1.060.000,1.058.000,1.029.542,812.212,813.408,817.519,149.564,135.612,133.170,122.999,119.194,111.925,104.118,106.944,117.171,148.683,125.441,123.598,53.553,54.323,49.143,41.666,36.376,34.222,31.038
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,21.327.000,22.012.000,21.056.000,18.520.001,18.276.000,19.033.000,19.931.001,16.628.000,15.868.000,16.977.000,17.526.999,14.182.000,14.135.000,15.098.000,16.288.000,13.306.000,13.890.000,14.460.000,16.004.000,14.363.470,13.129.767,13.248.195,13.457.823,12.441.656,12.189.842,11.910.088,12.082.472,11.659.853,11.298.950,10.745.924,11.674.930,11.025.946,10.845.613,10.013.031,9.891.828,2.563.624,2.563.051,2.317.749,2.437.471,2.086.803,1.994.767,1.959.906
Passivo Circulante,13.690.000,14.172.000,14.880.000,13.396.000,13.057.000,13.554.000,14.278.000,11.072.000,10.275.000,11.434.000,12.057.000,7.497.000,7.418.000,8.268.000,9.468.000,7.062.000,7.660.000,8.408.000,9.719.000,8.258.773,7.212.410,7.600.497,7.809.434,7.609.029,7.423.145,7.135.416,7.439.341,5.983.368,5.699.332,5.342.070,6.877.477,6.309.395,6.196.859,5.431.824,5.317.027,1.281.868,1.268.928,1.177.644,1.502.214,1.439.776,1.315.486,1.058.477
Obrigações Sociais e Trabalhistas PC,415.000,443.000,535.000,477.000,445.000,538.000,552.000,512.000,443.000,472.000,477.000,421.000,467.000,430.000,465.000,381.000,344.000,408.000,395.000,479.654,412.644,367.986,314.612,443.078,378.806,355.150,312.365,502.829,464.352,391.536,382.974,397.121,325.991,273.135,290.245,0,0,0,0,0,0,0
Fornecedores PC,6.788.000,6.608.000,8.652.000,7.825.000,7.446.000,6.966.000,7.726.000,4.810.000,5.145.000,5.687.000,5.618.000,2.606.000,2.479.000,3.310.000,3.783.000,2.882.000,3.005.000,3.556.000,4.132.000,2.998.229,2.631.868,2.926.494,3.149.899,3.049.920,3.156.650,2.894.599,3.132.545,2.222.142,2.044.463,1.972.943,2.857.469,2.226.528,2.249.984,2.082.471,2.381.450,853.092,866.499,755.067,1.030.342,700.709,542.135,353.314
Obrigações Fiscais PC,85.000,148.000,163.000,103.000,120.000,193.000,265.000,167.000,158.000,628.000,600.000,509.000,480.000,604.000,489.000,461.000,424.000,402.000,503.000,442.304,435.089,417.476,528.378,433.334,442.813,397.699,461.042,89.394,98.881,117.048,240.303,167.909,238.978,223.671,272.427,153.924,165.776,158.626,201.477,172.481,133.235,73.494
Empréstimos e Financiamentos PC,3.929.000,3.976.000,3.378.000,3.339.000,3.487.000,3.828.000,3.802.000,3.506.000,3.200.000,3.378.000,3.532.000,2.754.000,2.646.000,2.676.000,2.679.000,2.525.000,3.094.000,2.981.000,3.409.000,3.496.971,3.098.206,3.146.334,3.055.807,2.631.723,2.553.473,2.807.732,2.791.834,2.560.156,2.516.063,2.271.415,2.858.730,2.860.002,2.721.936,2.278.291,1.630.638,46.620,60.809,66.915,61.415,250.767,338.783,437.693
Passivos com Partes Relacionadas PC,94.000,146.000,182.000,155.000,140.000,123.000,139.000,142.000,131.000,112.000,188.000,155.000,123.000,97.000,95.000,87.000,75.000,69.000,70.000,46.408,43.086,37.340,54.121,320.696,292.998,119.971,109.777,87.779,73.800,105.923,32.583,38.608,27.773,61.481,297.606,0,0,0,0,0,0,0
Dividendos e JCP a Pagar PC,0,0,0,0,0,15.000,15.000,0,0,0,0,0,0,0,0,0,1.000,0,0,0,0,0,0,0,59,4.749,4.749,10,10,10,10,10,282,1.633,1.633,1.633,1.675,1.674,1.673,1.672,1.672,3.955
