"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - Marfrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Estoques ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos Biológicos ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,1.190.417,0,0,0,2.361.358,2.227.316,2.315.053,2.376.042,2.336.562,2.135.395,2.390.515,2.571.732,2.243.189,1.969.812,1.863.211,2.056.549,2.026.840,1.708.437,1.594.912,1.535.072,1.495.487,1.447.965,1.320.868,1.340.409,1.873.978,1.851.747,1.692.097,1.609.399,1.489.040,1.443.536,1.369.084,993.382,968.902,893.100,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,1.365.845,0,999.844,2.407.993,2.220.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.203,38.461,39.653,0,4.670,5.482,5.476,3.069,1.546,1.540,1.552
Outros Ativos Não Circulantes ACLP,0,2.003.184,0,0,0,1.884.710,1.981.430,1.956.071,1.873.805,1.865.790,1.927.348,1.755.591,2.040.449,1.994.403,2.060.410,1.945.467,2.024.645,1.960.001,1.962.578,1.370.949,1.294.863,1.298.408,1.150.545,1.111.215,1.105.800,1.561.925,1.408.517,1.376.240,1.367.346,1.360.934,1.336.659,1.316.874,1.241.500,1.121.653,1.138.679,1.731.781,1.456.059,1.122.596,589.481,314.721,361.402,420.535
Investimentos,43.444,44.162,42.545,14.310,13.785,10,21.064,19.810,20.449,19.280,16.268,15.073,17.926,21.519,26.024,35.193,35.837,39.895,36.934,43.762,41.875,46.104,54.774,53.535,55.243,19.407,11.107,2.763,11.602,13.528,13.195,15.774,10.218,10.161,10.040,1.108,1.152,971,746,1.223,1.281,1.222
Imobilizado,6.301.747,6.018.034,5.231.216,5.076.718,4.928.469,3.215.246,4.489.952,4.276.415,4.170.022,4.038.325,4.060.633,4.020.348,3.973.061,4.190.770,4.371.067,4.455.718,4.326.529,5.524.245,5.103.763,4.921.612,4.770.324,4.777.112,4.868.235,4.656.796,4.538.287,7.909.963,8.010.620,7.684.834,7.618.304,7.240.307,7.315.085,7.278.038,6.915.622,7.002.320,6.963.142,4.676.562,4.572.546,4.561.199,2.415.076,2.282.783,2.175.559,2.223.822
Intangível,6.660.671,6.572.830,6.557.055,5.396.218,5.257.447,876.294,2.843.389,2.732.967,2.836.696,2.735.481,2.815.130,2.827.111,2.780.248,2.491.119,2.645.270,2.691.767,2.530.376,3.375.164,3.004.709,2.871.540,2.691.461,2.735.418,2.811.285,2.690.411,2.628.637,3.986.914,4.071.925,4.137.005,4.106.674,4.297.248,4.354.956,4.332.710,4.000.477,4.042.325,4.186.696,2.572.594,2.595.291,2.612.090,1.870.293,1.890.530,1.962.368,2.132.733
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.429,12.038,12.648,13.256
