"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - USIMINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Ativos Biológicos ACLP,25.377,36.868,26.899,21.456,41.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tributos Diferidos ACLP,0,0,0,0,0,3.029.743,3.046.112,3.030.450,3.061.289,3.040.718,3.120.368,3.434.099,3.361.515,3.322.746,3.281.063,2.727.748,2.481.044,2.134.632,2.018.129,1.955.105,1.809.383,0,0,1.697.479,1.712.369,1.605.919,0,1.265.580,1.106.669,846.995,0,0,0,0,398.223,0,0,0,0,0,0,0
Despesas Antecipadas ACLP,2.766.249,2.781.358,2.765.356,3.133.393,3.062.537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Créditos com Partes Relacionadas ACLP,0,0,0,0,0,2.952,3.147,3.328,3.302,3.623,3.842,4.104,4.300,4.302,4.412,4.537,4.630,4.722,22.383,21.946,21.594,21.268,20.831,20.451,20.094,19.848,12.631,14.082,13.796,5.624,5.710,5.775,5.834,5.906,5.960,6.292,6.864,7.064,7.344,8.270,10.193,7.887
Outros Ativos Não Circulantes ACLP,1.877,2.117,2.342,2.626,2.814,859.127,780.282,763.067,837.093,794.092,954.693,950.819,908.958,1.069.608,1.267.870,1.214.544,1.057.873,1.097.975,951.203,801.107,839.977,2.642.426,2.710.658,695.460,739.946,759.386,2.432.113,1.090.649,1.124.506,1.048.949,1.934.282,1.792.619,1.418.085,1.417.876,1.000.296,1.228.791,1.109.860,1.137.369,1.112.616,1.375.427,1.317.815,1.247.579
Investimentos,1.165.451,1.113.812,1.088.094,1.183.569,1.110.529,1.092.905,1.054.052,1.205.496,1.164.854,1.150.372,1.126.176,1.184.155,1.157.844,1.122.739,1.084.311,1.133.587,1.145.575,1.155.951,1.145.787,1.187.252,1.152.991,1.201.463,1.159.948,1.290.488,1.242.421,1.231.420,453.062,449.422,431.110,439.030,428.382,436.121,423.836,405.718,2.061.186,2.028.507,2.075.554,2.000.466,1.806.734,1.735.413,1.674.857,2.010.258
Imobilizado,11.437.713,11.571.751,11.715.022,12.314.039,12.484.296,12.669.891,12.882.618,13.048.632,13.259.162,13.488.122,13.748.890,13.935.528,14.191.715,14.491.957,14.743.629,15.262.483,15.408.654,15.492.069,15.535.573,15.463.182,15.459.740,15.481.317,15.506.833,15.492.114,15.514.786,15.751.008,16.653.119,16.564.242,16.472.506,16.288.495,15.921.154,15.343.202,14.830.640,14.556.859,14.275.006,0,0,0,11.950.117,0,0,0
Intangível,698.849,698.556,695.596,668.158,668.770,672.190,677.190,691.861,697.124,703.957,693.918,332.062,335.922,347.936,337.922,1.393.633,1.392.963,2.366.918,2.377.679,2.387.638,2.390.647,2.397.499,2.400.577,2.392.461,2.398.593,2.405.424,2.442.648,2.448.293,2.442.846,2.443.890,2.453.952,1.720.693,1.727.005,1.730.204,1.741.850,1.758.206,1.754.080,1.744.593,1.737.495,1.832.835,1.837.398,1.843.987
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,26.165.717,26.251.940,26.523.853,26.098.377,25.319.369,25.376.778,25.984.475,25.805.816,26.016.131,26.304.567,26.254.744,26.319.026,26.856.755,26.615.781,27.758.332,29.586.731,30.313.888,30.983.983,30.484.062,30.773.684,31.048.810,31.091.169,31.357.995,32.025.448,32.188.310,31.945.783,32.774.220,33.383.907,33.516.476,33.038.903,33.360.425,32.990.884,32.226.804,31.911.709,31.819.561,0,0,0,0,0,0,0
Passivo Circulante,2.984.180,3.112.311,3.335.670,2.554.236,2.125.224,2.325.040,3.046.420,2.387.267,2.281.035,2.458.976,1.752.244,1.691.103,5.843.359,4.884.036,4.495.923,4.615.940,4.718.708,5.048.230,4.769.426,4.790.453,4.928.200,4.921.801,5.087.491,5.121.401,5.245.901,4.282.912,5.402.921,5.774.264,5.452.214,5.015.480,4.092.173,4.313.812,3.970.111,3.889.307,3.531.823,3.474.447,3.182.114,3.347.269,3.036.027,2.730.301,2.347.817,3.796.444
Obrigações Sociais e Trabalhistas PC,221.279,194.354,205.583,242.639,221.247,212.949,188.735,240.574,211.743,180.941,197.076,257.059,245.170,241.759,278.149,343.189,319.435,280.196,280.284,316.975,294.903,259.912,0,318.850,303.422,273.104,0,332.474,317.590,297.758,0,362.443,331.438,297.112,287.209,0,0,0,0,0,0,0
Fornecedores PC,1.166.050,1.149.580,1.133.763,1.483.277,1.086.263,1.107.295,976.917,738.257,703.438,683.157,846.377,596.751,852.326,836.683,1.187.274,1.719.521,2.069.668,2.235.161,1.948.744,1.987.409,2.312.290,2.330.740,2.422.024,2.445.170,2.322.020,2.205.921,2.283.644,2.309.526,2.297.765,1.925.696,1.462.373,1.832.838,1.613.315,1.426.807,1.257.868,1.119.065,1.116.304,986.027,815.286,700.268,502.800,818.758
Obrigações Fiscais PC,110.111,92.659,126.212,93.841,97.426,83.861,96.523,85.533,126.256,123.035,65.985,108.082,108.447,128.740,91.698,113.906,98.461,133.509,116.949,136.022,104.311,163.670,386.127,176.937,167.593,145.556,488.625,206.577,167.326,194.429,625.788,289.749,261.434,205.767,309.034,326.981,303.004,314.096,209.857,328.847,212.803,461.978
Empréstimos e Financiamentos PC,258.672,185.293,467.036,18.214,19.177,23.372,989.977,866.725,621.659,600.874,67.708,83.294,3.067.583,2.675.140,1.911.501,1.797.452,1.716.142,1.723.392,1.705.891,1.694.786,1.555.633,1.384.942,1.330.170,1.260.584,1.490.334,759.342,1.687.073,2.073.901,1.882.630,1.813.728,1.139.516,1.267.620,1.108.300,1.217.248,847.783,645.902,596.566,540.617,753.274,787.876,791.002,1.230.466
Passivos com Partes Relacionadas PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.960,188.279,241.783,338.357,140.848,156.680,144.520,140.042,133.417,191.686,210.504,158.243,95.989,95.227,74.738,92.815,61.540,63.168,68.071,79.546,80.970,75.961,88.887,54.776,39.721,32.758,42.936
Dividendos e JCP a Pagar PC,11.892,202.809,202.809,182,185,119.942,75.644,138,22.000,22.003,22.001,140,140,140,142,143,141,38.368,30.937,169,169,1.121,1.122,2.788,611,27.196,26.635,937,954,69.273,69.704,1.830,2.347,124.911,159.819,232.040,2.617,348.518,310.752,5.462,3.037,573.060
Outros PC,1.216.176,1.287.616,1.200.267,716.083,700.926,777.621,718.624,456.040,595.939,848.966,553.097,645.777,1.569.693,1.001.574,1.027.159,402.769,326.582,395.821,348.264,514.244,504.214,636.896,808.006,678.155,665.694,661.289,758.701,754.860,690.722,639.858,701.977,497.792,590.109,549.391,590.564,1.069.489,1.087.662,1.069.124,892.082,772.465,713.440,575.122
Provisões PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.662,91.977,94.124
Passivos sobre Ativos Não-Correntes a Venda e Descontinuados PC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.500,104.541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Não Circulante,7.264.334,7.372.906,7.490.790,8.029.694,7.939.018,7.756.145,7.754.093,8.091.901,8.464.035,8.445.852,9.310.867,9.036.294,6.303.747,6.920.481,8.268.552,8.367.978,7.916.813,7.445.663,6.953.021,6.948.744,7.059.113,7.142.870,7.436.558,8.193.489,8.528.736,9.181.815,8.858.225,8.968.736,9.276.047,9.020.615,10.254.047,9.592.705,9.148.310,8.863.681,9.258.299,9.833.666,8.766.904,6.777.037,6.648.585,7.351.116,7.822.175,8.345.437
