target,High,Low,Open,Close,Volume,Adj Close,Ativo Total,Ativo Circulante,Caixa e Equivalentes de Caixa AC,Aplicações Financeiras AC,Contas a Receber AC,Estoques AC,Tributos a Recuperar AC,Outros Ativos Circulantes AC,Ativo Realizavel Longo Prazo,Contas a Receber ACLP,Tributos Diferidos ACLP,Outros Ativos Não Circulantes ACLP,Investimentos,Imobilizado,Intangível,Passivo Total,Passivo Circulante,Obrigações Sociais e Trabalhistas PC,Fornecedores PC,Obrigações Fiscais PC,Empréstimos e Financiamentos PC,Outros PC,Passivo Não Circulante,Empréstimos e Financiamentos PNC,Outros PNC,Tributos Diferidos PNC,Provisões PNC,Participação dos Acionistas Não Controladores,Patrimônio Líquido,Capital Social Realizado,Reservas de Capital,Reservas de Lucros,Lucros/Prejuízos Acumulados
Bad,28.51000022888184,20.899999618530273,22.95000076293945,23.79999923706055,68054000.0,18.17229715983073,10311380.49476702,6747892.0,1561965.0,694108.9421128127,3105264.0,2080663.0,148899.03698600718,160268.36326655466,4169592.610328099,3160976.0,16456.564258936087,25528.0,12210.0,133139.0,108178.0,10311380.49476702,3822157.0,134482.92046084238,257277.0,238584.0,391855.0,2555238.0,2623150.0,2231280.0,195672.0,149641.68114764895,196198.0,252579.0,3852804.0,2549139.0,40362.0,1270878.0,205994.84049069483
Bad,22.684799194335927,15.696000099182127,21.66160011291504,19.49930000305176,9836127.333333334,20.210400263468426,7684984.0,3609719.0,161193.0,1143086.0,826015.0,1214046.0,149106.0,83124.0,4158554.8276906223,46309.26437354646,625041.0,603667.0,3974.271384539042,487293.0,2342350.0,7684984.0,2546149.0,72130.0,1636169.0,35879.0,584409.0,217562.0,2107457.0,1718268.0,72010.0,52597.50273940121,317179.0,2049.344109241833,3031378.0,3605326.0,14886.0,362065.6797414926,-588528.0
Bad,17.020000457763672,14.050000190734865,15.40999984741211,16.299999237060547,120380600.0,12.950309435526528,18681297.0,3384242.0,2305977.0,1353131.6296974227,621704.0,2476976.8579071173,96969.0,274548.0,4129766.8576926785,185503.0,366279.0,2979769.0,909259.0,661012.0,9940678.0,18681297.0,4987891.0,189145.0,242174.0,155445.0,4053597.0,183975.0,9622471.0,7485127.0,1231537.0,263889.0,500498.0,175879.0,3895054.0,2025342.0,-24855.0,1304531.0,198883.0
Bad,13.100000381469727,10.420000076293944,11.779999732971193,10.630000114440918,58814200.0,10.166998863220217,31947477.0,10172230.0,3550188.0,470625.15559088823,3223756.0,385687.0,1727982.0,308926.0,4152976.4603130035,27872.0,870977.0,2382424.0,66437.79883246227,8928056.0,9461774.0,31947477.0,7543827.0,248733.0,4020126.0,670121.0,1252763.0,931139.0,8767359.0,5799412.0,1701916.0,563486.0,702545.0,30579.001434138576,15636291.0,9866298.0,1342657.0,4112332.0,312701.0
Bad,21.649999618530273,18.75,20.540000915527344,21.63999938964844,24188607.66666667,12.94945240020752,34660860.0,9416124.0,2389293.0,479572.0,2239774.0,3272155.0,996615.0,982463.2932811222,4166181.98313522,56022.0,1122070.0,1474106.0,174142.0,19293243.0,3048959.0,34660860.0,8337790.0,406655.0,5214749.0,396765.0,1630025.0,235344.0,15578879.0,10906805.0,2010728.0,2267775.0,364033.0,15168.0,10729024.0,8043222.0,785781.0,1338908.0,315035.0
Bad,11.812700271606445,9.80601978302002,10.989999771118164,11.304300308227539,76384579.66666667,9.599618593851725,20135127.0,1190542.0,32404.0,685587.0,292814.0,1702900.4791604755,122277.0,51894.0,4146286.12593135,164439.0,27800.0,47487.0,17988399.0,10988.0,42119.0,20135127.0,893892.0,21908.0,49346.0,51257.0,434534.0,106454.0,9522770.0,4928957.0,843330.0,3681219.0,64419.0,731533.0,8986934.0,4366639.0,101230.0,4651771.0,-132706.0
Bad,103.1999969482422,73.1500015258789,96.48999786376952,83.38999938964844,26866100.0,86.33868408203125,41465000.0,19375000.0,6811000.0,23666.025552327872,2939000.0,8212000.0,987000.0,171000.0,4168530.8808366903,704000.0,500000.0,3452000.0,482000.0,10023000.0,6537000.0,41465000.0,19312001.0,805000.0,10291000.0,684000.0,4773000.0,1464000.0,7767000.0,3849000.0,704000.0,1214000.0,1310000.0,3683000.0,10703000.0,6805000.0,291000.0,3398000.0,220000.0
Bad,19.09000015258789,16.299999237060547,17.479999542236328,17.889999389648438,56013333.33333334,14.4100612004598,13829895.0,9737751.0,1244492.0,488182.0,4875743.0,2984464.0,88655.0,50635.0,4153089.478983035,1529411.0,15043.0,800805.0,8471.0,173901.0,87606.0,13829895.0,4290025.0,93398.0,281890.0,326252.0,931598.0,2233940.0,4146564.0,3287098.0,155574.3976079705,94443.0,765023.0,331057.0,5062249.0,2548695.0,99374.0,2449910.0,324101.96945022955
Bad,21.36000061035156,16.25,18.11000061035156,16.780000686645508,83044733.33333333,14.159382502237953,17236908.0,2763893.0,1922954.0,365115.3365874368,560323.0,2460125.0869729146,93542.0,162316.0,4143506.7884630193,102525.0,620829.0,2804093.0,726201.0,611418.0,9324290.0,17236908.0,5416013.0,149577.0,251431.0,340945.0,3042795.0,171658.0,8591116.0,6226235.0,1171848.0,255613.0,824517.0,219478.0,3010300.0,2025342.0,-24520.0,515690.0,404908.0
Bad,8.201939582824707,6.278090000152588,6.651599884033202,7.920529842376709,90241216.0,7.21814473470052,7061997.0,5104841.0,1674401.0,1214231.960694708,1617935.0,1312973.0,68948.35144038181,499532.0,4134814.7645038906,389198.81554713,63344.05091525515,392443.0,55493.70859857501,546702.0,960226.0,7061997.0,3587161.0,104151.48961888648,1699755.0,143304.0,1424984.0,258599.0,3003911.0,2807000.0,40645.0,179622.6671347654,156266.0,106202.0,364723.0,120947.0,9890.0,81290.0,149473.0
