"XLSWrite 1.34 Copyright(c) 1999,2000 Axolot Data",Balanço Patrimonial - RENNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30/06/2019,31/03/2019,31/12/2018,30/09/2018,30/06/2018,31/03/2018,31/12/2017,30/09/2017,30/06/2017,31/03/2017,31/12/2016,30/09/2016,30/06/2016,31/03/2016,31/12/2015,30/09/2015,30/06/2015,31/03/2015,31/12/2014,30/09/2014,30/06/2014,31/03/2014,31/12/2013,30/09/2013,30/06/2013,31/03/2013,31/12/2012,30/09/2012,30/06/2012,31/03/2012,31/12/2011,30/09/2011,30/06/2011,31/03/2011,31/12/2010,30/09/2010,30/06/2010,31/03/2010,31/12/2009,30/09/2009,30/06/2009,31/03/2009
Créditos com Partes Relacionadas ACLP,0,0,0,1.421,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Outros Ativos Não Circulantes ACLP,0,0,0,0,0,90.342,90.946,83.647,80.320,75.439,77.068,74.634,73.963,67.777,69.933,60.987,50.315,43.308,46.817,43.506,42.743,37.815,38.474,34.606,117.808,33.178,35.477,30.733,28.811,25.820,23.466,19.541,23.599,21.339,22.122,95.611,90.113,83.769,39.904,43.507,44.226,43.467
Investimentos,0,0,0,46,46,46,46,46,46,46,46,50,50,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,18.466,63,63,63,63
Imobilizado,3.994.335,3.895.146,1.994.449,1.910.603,1.853.263,1.822.018,1.813.627,1.716.613,1.668.458,1.636.648,1.645.069,1.603.876,1.589.602,1.559.316,1.545.704,1.475.060,1.391.883,1.320.473,1.304.065,1.204.275,1.138.162,1.101.156,1.063.348,936.726,865.645,843.189,846.204,745.619,671.099,633.359,599.481,473.940,453.996,414.185,412.603,364.293,360.491,351.053,357.572,354.209,356.578,350.828
Intangível,681.707,632.852,635.076,582.622,565.794,538.370,526.235,501.558,501.811,495.518,500.244,472.011,470.286,420.496,420.295,386.715,371.837,361.394,368.084,350.791,340.559,313.311,322.203,308.051,258.354,256.630,256.165,235.544,226.507,209.733,204.858,247.432,235.930,67.770,66.977,41.006,41.974,43.529,46.113,41.490,43.842,46.528
Diferido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Passivo Total,10.318.428,10.347.815,8.821.048,7.547.252,7.305.307,7.026.755,7.547.658,6.486.567,6.596.513,6.251.926,6.475.212,5.674.332,5.812.619,5.571.244,5.863.719,5.296.100,5.224.002,5.083.749,5.321.540,4.511.948,4.407.842,4.302.066,4.515.524,4.012.280,3.513.137,3.485.527,3.770.028,3.322.175,2.909.729,2.859.507,2.983.504,2.641.337,2.228.907,2.212.079,2.456.015,1.905.562,1.871.880,1.767.865,1.921.197,1.560.587,1.520.286,1.382.198
Passivo Circulante,3.872.384,4.447.882,4.324.355,3.239.419,2.937.272,2.382.238,2.941.712,2.331.216,2.656.776,2.341.067,2.917.751,2.384.018,2.354.817,2.075.776,2.319.127,1.886.717,1.854.113,1.694.770,2.037.362,1.458.548,1.317.281,1.691.760,1.932.589,1.592.957,1.550.010,1.465.531,1.725.212,1.071.413,1.033.323,923.858,1.065.575,814.870,755.123,708.507,977.575,829.365,862.863,772.959,1.062.130,666.276,658.454,579.899
Obrigações Sociais e Trabalhistas PC,237.800,257.529,246.009,222.826,197.862,244.078,233.338,217.643,186.370,190.879,179.470,164.549,151.162,178.884,174.704,140.826,123.044,149.145,142.015,117.911,97.693,103.495,101.944,96.910,95.908,107.395,103.317,98.726,84.392,70.384,67.001,72.702,65.042,74.529,72.108,0,0,0,0,0,0,0
Fornecedores PC,707.863,660.803,955.834,788.835,686.049,594.833,842.254,645.953,532.843,481.747,679.721,541.420,534.516,403.359,553.453,515.248,489.860,407.225,561.480,459.360,396.496,357.361,471.384,373.530,391.258,364.939,456.484,351.642,370.869,307.840,429.887,304.511,289.480,278.361,318.285,241.612,243.175,212.523,268.072,209.440,184.040,147.529
